Image Index,Read Time (ms),File Size (KB),Image Path
1,12.30311393737793,26,/mnt/beegfs/imagenet2012/image/n02085620_10074.JPEG
2,5.093097686767578,34,/mnt/beegfs/imagenet2012/image/n02085620_10131.JPEG
3,4.2934417724609375,13,/mnt/beegfs/imagenet2012/image/n02085620_10621.JPEG
4,4.714727401733398,34,/mnt/beegfs/imagenet2012/image/n02085620_1073.JPEG
5,4.08172607421875,18,/mnt/beegfs/imagenet2012/image/n02085620_10976.JPEG
6,5.620479583740234,37,/mnt/beegfs/imagenet2012/image/n02085620_11140.JPEG
7,4.557609558105469,24,/mnt/beegfs/imagenet2012/image/n02085620_11238.JPEG
8,4.8274993896484375,38,/mnt/beegfs/imagenet2012/image/n02085620_11258.JPEG
9,3.403186798095703,9,/mnt/beegfs/imagenet2012/image/n02085620_11337.JPEG
10,10.831356048583984,78,/mnt/beegfs/imagenet2012/image/n02085620_11477.JPEG
11,5.435943603515625,62,/mnt/beegfs/imagenet2012/image/n02085620_1152.JPEG
12,7.442712783813477,50,/mnt/beegfs/imagenet2012/image/n02085620_11696.JPEG
13,4.824638366699219,39,/mnt/beegfs/imagenet2012/image/n02085620_11818.JPEG
14,4.712104797363281,21,/mnt/beegfs/imagenet2012/image/n02085620_11948.JPEG
15,4.729032516479492,29,/mnt/beegfs/imagenet2012/image/n02085620_1205.JPEG
16,3.4461021423339844,12,/mnt/beegfs/imagenet2012/image/n02085620_12101.JPEG
17,3.878355026245117,18,/mnt/beegfs/imagenet2012/image/n02085620_12334.JPEG
18,4.913806915283203,50,/mnt/beegfs/imagenet2012/image/n02085620_1235.JPEG
19,3.978252410888672,18,/mnt/beegfs/imagenet2012/image/n02085620_12718.JPEG
20,4.1408538818359375,24,/mnt/beegfs/imagenet2012/image/n02085620_1271.JPEG
21,4.59742546081543,33,/mnt/beegfs/imagenet2012/image/n02085620_1298.JPEG
22,4.191160202026367,14,/mnt/beegfs/imagenet2012/image/n02085620_13151.JPEG